Issue_ID	Chromosome	Patch_GenBank_Accession
ZG-2797	10	na
ZG-2798	10	na
ZG-3136	10	na
ZG-3137	10	na
ZG-3138	10	na
ZG-3139	10	na
ZG-3141	10	na
ZG-3142	10	na
ZG-3143	10	na
ZG-3147	10	na
ZG-3148	10	na
ZG-3149	10	na
ZG-3150	10	na
ZG-3153	10	na
ZG-3157	10	na
ZG-3158	10	na
ZG-3159	10	na
ZG-3160	10	na
ZG-3161	10	na
ZG-3286	10	na
ZG-3288	10	na
ZG-33	10	na
ZG-3635	10	na
ZG-3636	10	na
ZG-3637	10	na
ZG-3638	10	na
ZG-3639	10	na
ZG-3640	10	na
ZG-3641	10	na
ZG-3642	10	na
ZG-3643	10	na
ZG-3644	10	na
ZG-3645	10	na
ZG-3646	10	na
ZG-3647	10	na
ZG-3648	10	na
ZG-3649	10	na
ZG-3650	10	na
ZG-3651	10	na
ZG-3652	10	na
ZG-3653	10	na
ZG-3654	10	na
ZG-3655	10	na
ZG-3656	10	na
ZG-3657	10	na
ZG-3658	10	na
ZG-3659	10	na
ZG-3660	10	na
ZG-3661	10	na
ZG-3662	10	na
ZG-3663	10	na
ZG-3664	10	na
ZG-3665	10	na
ZG-3666	10	na
ZG-3667	10	na
ZG-3668	10	na
ZG-3669	10	na
ZG-3670	10	na
ZG-3671	10	na
ZG-3672	10	na
ZG-3673	10	na
ZG-3674	10	na
ZG-3675	10	na
ZG-3676	10	na
ZG-3677	10	na
ZG-3678	10	na
ZG-3679	10	na
ZG-3680	10	na
ZG-4066	10	na
ZG-5040	10	na
ZG-5041	10	na
ZG-5042	10	na
ZG-5043	10	na
ZG-5044	10	na
ZG-5131	10	na
ZG-5283	10	na
ZG-5284	10	na
ZG-5285	10	na
ZG-5566	10	na
ZG-5567	10	na
ZG-5572	10	na
ZG-5573	10	na
ZG-5667	10	na
ZG-5668	10	na
ZG-5708	10	na
ZG-5736	10	na
ZG-5737	10	na
ZG-5739	10	na
ZG-5740	10	na
ZG-5745	10	na
ZG-5747	10	na
ZG-5749	10	na
ZG-5776	10	na
ZG-5779	10	na
ZG-5800	10	na
ZG-5805	10	na
ZG-5807	10	na
ZG-5811	10	na
ZG-5812	10	na
ZG-5822	10	na
ZG-5840	10	na
ZG-5841	10	na
ZG-5846	10	na
ZG-5849	10	na
ZG-5850	10	na
ZG-5855	10	na
ZG-5857	10	na
ZG-5900	10	na
ZG-5953	10	na
ZG-5957	10	na
ZG-5958	10	na
ZG-5960	10	na
ZG-5967	10	na
ZG-5972	10	na
ZG-6406	10	na
ZG-6409	10	na
ZG-6414	10	na
ZG-6501	10	na
ZG-6502	10	na
ZG-6503	10	na
ZG-6505	10	na
ZG-6509	10	na
ZG-6515	10	na
ZG-6522	10	na
ZG-6523	10	na
ZG-6524	10	na
ZG-6525	10	na
ZG-6532	10	na
ZG-6539	10	na
ZG-6540	10	na
ZG-6541	10	na
ZG-6614	10	na
ZG-6650	10	na
ZG-6651	10	na
ZG-6673	10	na
ZG-6677	10	na
ZG-6736	10	na
ZG-6737	10	na
ZG-6738	10	na
ZG-6739	10	na
ZG-6928	10	na
ZG-6929	10	na
ZG-6930	10	na
ZG-7061	10	na
ZG-7109	10	na
ZG-7112	10	na
ZG-7117	10	na
ZG-2737	11	na
ZG-3076	11	na
ZG-3077	11	na
ZG-3078	11	na
ZG-3080	11	na
ZG-3087	11	na
ZG-3089	11	na
ZG-3091	11	na
ZG-3092	11	na
ZG-3093	11	na
ZG-3094	11	na
ZG-3095	11	na
