Issue_ID	Chromosome	Patch_GenBank_Accession
MG-4264	10	KQ030491.1
MG-3829	11	KB469739.1
MG-4180	12	KB469740.1
MG-4259	15	KQ030492.1
MG-4261	15	KQ030493.1
MG-3833	16	KB469741.1
MG-3908	17	KB469742.1
MG-4222	17	KB469742.1
MG-3835	18	JH792829.1
MG-153	19	JH792830.1
MG-4249	19	KQ030494.1
MG-4236	1	KK082441.1
MG-4248	3	KQ030484.1
MG-3561	4	KQ030485.1
MG-3562	4	KQ030486.1
MG-3609	4	KQ030487.1
MG-4136	4	JH792826.1
MG-4265	4	KQ030488.1
MG-4266	4	KQ030489.1
MG-4212	5	JH792827.1
MG-184	6	KK082442.1
MG-4237	6	KK082443.1
MG-4151	7	JH792828.1
MG-117	9	KQ030490.1
MG-132	9	KB469738.3
MG-4226	9	KB469738.3
MG-4242	9	KB469738.3
MG-3231	X	KQ030495.1
MG-4214	X	JH792831.1
MG-4254	X	KQ030496.1
MG-4255	X	KQ030497.1
MG-4209	Y	JH792832.1
MG-4211	Y	JH792833.1
MG-4213	Y	JH792834.1
