# Region Report
# Assembly Name:  GRCh37.p11
# Description:    Genome Reference Consortium Human Build 37 patch release 11 (GRCh37.p11)
# Organism name:  Homo sapiens
# Taxid:          9606
# Submitter:      Genome Reference Consortium
# Date:           2012-12-18
# Assembly type:  haploid-with-alt-loci
# Release type:   patch
# Assembly level: Chromosome
# Genome representation: full
# GenBank Assembly Accession: GCA_000001405.12 (replaced)
# RefSeq Assembly Accession: GCF_000001405.23 (replaced)
# RefSeq Assembly and GenBank Assemblies Identical: yes
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_000001305.1	GCF_000001305.13	Primary Assembly
## GCA_000005045.11	GCF_000005045.10	PATCHES
## GCA_000001315.1	GCF_000001315.1	ALT_REF_LOCI_1
## GCA_000001325.1	GCF_000001325.2	ALT_REF_LOCI_2
## GCA_000001335.1	GCF_000001335.1	ALT_REF_LOCI_3
## GCA_000001345.1	GCF_000001345.1	ALT_REF_LOCI_4
## GCA_000001355.1	GCF_000001355.1	ALT_REF_LOCI_5
## GCA_000001365.1	GCF_000001365.2	ALT_REF_LOCI_6
## GCA_000001375.1	GCF_000001375.1	ALT_REF_LOCI_7
## GCA_000001385.1	GCF_000001385.1	ALT_REF_LOCI_8
## GCA_000001395.1	GCF_000001395.1	ALT_REF_LOCI_9
## GCA_000006015.1	GCF_000006015.1	non-nuclear
#
# Region-Name	Chromosome	Chromosome-Start	Chromosome-Stop	Scaffold-Role	Scaffold-GenBank-Accn	Scaffold-RefSeq-Accn	Assembly-Unit
REGION77	1	3823584	3845268	fix-patch	JH806574.1	NW_004070864.1	PATCHES
REGION60	1	31872759	32017063	fix-patch	GL949741.1	NW_003571030.1	PATCHES
1P11	1	120471050	121346350	fix-patch	JH636053.2	NW_003871056.2	PATCHES
1Q21	1	143871003	150440213	fix-patch	JH636052.4	NW_003871055.3	PATCHES
REGION2	1	153673007	153838214	novel-patch	GL383518.1	NW_003315905.1	PATCHES
MTX1	1	155180173	155275036	novel-patch	GL383519.1	NW_003315906.1	PATCHES
REGION3	1	198339213	198694304	novel-patch	GL383520.1	NW_003315907.1	PATCHES
REGION78	1	205916833	205922707	fix-patch	JH806573.1	NW_004070863.1	PATCHES
1Q32	1	206072708	206940869	fix-patch	JH636054.1	NW_003871057.1	PATCHES
REGION79	1	235167042	235192211	fix-patch	JH806575.1	NW_004070865.1	PATCHES
REGION1	1	248865779	249098883	fix-patch	GL383516.1	NW_003315903.1	PATCHES
REGION1	1	248865779	249098883	fix-patch	GL383517.1	NW_003315904.1	PATCHES
REGION4	2	36453102	36590458	novel-patch	GL383521.1	NW_003315908.1	PATCHES
REGION55	2	95326172	95618108	fix-patch	GL877871.1	NW_003571032.1	PATCHES
REGION44	2	149790583	149880633	novel-patch	GL582966.2	NW_003571033.2	PATCHES
SPC25	2	169686873	169793704	novel-patch	GL383522.1	NW_003315909.1	PATCHES
REGION54	2	243059660	243189373	fix-patch	GL877870.2	NW_003571031.1	PATCHES
REGION73	3	11856742	12027971	novel-patch	JH636055.1	NW_003871060.1	PATCHES
