# Region Report
# Assembly Name:  GRCm38
# Description:    Genome Reference Consortium Mouse Build 38
# Organism name:  Mus musculus
# Taxid:          10090
# Submitter:      Genome Reference Consortium
# Date:           2012-1-9
# Assembly type:  haploid-with-alt-loci
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# GenBank Assembly Accession: GCA_000001635.2 (replaced)
# RefSeq Assembly Accession: GCF_000001635.20 (replaced)
# RefSeq Assembly and GenBank Assemblies Identical: yes
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_000000055.2	GCF_000000055.19	Primary Assembly (C57BL/6J)
## GCA_000000495.1	GCF_000000495.3	129P2/OlaHsd
## GCA_000001665.1	GCF_000001665.3	129S1/SvImJ
## GCA_000001675.1	GCF_000001675.3	129S2/SvPas
## GCA_000000395.2	GCF_000000395.5	129S6/SvEvTac
## GCA_000237955.1	GCF_000237955.1	129X1/SvJ
## GCA_000000325.1	GCF_000000325.5	A/J
## GCA_000000425.1	GCF_000000425.1	AKR/J
## GCA_000000335.2	GCF_000000335.9	BALB/c
## GCA_000000465.2	GCF_000000465.4	CAST/Ei
## GCA_000001715.1	GCF_000001715.3	NOD/MrkTac
## GCA_000001705.1	GCF_000001705.1	NOD/ShiLtJ
## GCA_000001725.1	GCF_000001725.3	RIII
## GCA_000000385.2	GCF_000000385.11	UNKNOWN
## GCA_000001685.1	GCF_000001685.3	129S7/SvEvBrd-Hprt-b-m2
## GCA_000004175.1	GCF_000004175.1	non-nuclear
#
# Region-Name	Chromosome	Chromosome-Start	Chromosome-Stop	Scaffold-Role	Scaffold-GenBank-Accn	Scaffold-RefSeq-Accn	Assembly-Unit
NOD_mouse_Idd5.1	1	60640809	63588262	alt-scaffold	JH584320.1	NT_187019.1	NOD/MrkTac
NOD_mouse_Idd5.3	1	65597865	69265254	alt-scaffold	JH584321.1	NT_187020.1	NOD/MrkTac
region4	1	78413759	78687489	alt-scaffold	GL455993.1	NT_039198.1	129S6/SvEvTac
NOD_mouse_Idd5.4	1	130311064	130653047	alt-scaffold	JH584322.1	NT_187021.1	NOD/MrkTac
Ren2	1	133239136	133489442	alt-scaffold	GL455991.1	NT_039192.2	129S6/SvEvTac
Ifi_cluster	1	173701136	174051183	alt-scaffold	GL455992.2	NT_039194.5	129S6/SvEvTac
Ifi_cluster	1	173701136	174051183	alt-scaffold	JH584315.1	NT_187017.1	129X1/SvJ
Ifi_cluster	1	173701136	174051183	alt-scaffold	GL456005.1	NT_039195.1	129X1/SvJ
region29	2	102983310	103388989	alt-scaffold	GL456024.2	NT_039223.3	129S1/SvImJ
NOD_mouse_Idd3.1	3	36806723	37563603	alt-scaffold	GL456007.1	NT_039256.1	129S1/SvImJ
NOD_mouse_Idd3.1	3	36806723	37563603	alt-scaffold	GL456006.1	NT_039248.1	129S1/SvImJ
NOD_mouse_Idd3.1	3	36806723	37563603	alt-scaffold	GL456045.2	NT_039247.2	NOD/MrkTac
NOD_mouse_Idd3.1	3	36806723	37563603	alt-scaffold	GL456048.1	NT_039252.1	NOD/MrkTac
region31	3	47447005	47679964	alt-scaffold	GL456049.2	NT_039257.4	NOD/MrkTac
Tdpoz_cluster	3	93583858	93685263	alt-scaffold	GL456008.1	NT_080257.1	129S1/SvImJ
