# Region Report
# Assembly Name:  GRCh37.p2
# Description:    Genome Reference Consortium Human Build 37 patch release 2 (GRCh37.p2)
# Organism name:  Homo sapiens
# Taxid:          9606
# Submitter:      Genome Reference Consortium
# Date:           2010-8-5
# Assembly type:  haploid-with-alt-loci
# Release type:   patch
# Assembly level: Chromosome
# Genome representation: full
# GenBank Assembly Accession: GCA_000001405.3 (replaced)
# RefSeq Assembly Accession: GCF_000001405.14 (replaced)
# RefSeq Assembly and GenBank Assemblies Identical: yes
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_000001305.1	GCF_000001305.13	Primary Assembly
## GCA_000005045.2	GCF_000005045.1	PATCHES
## GCA_000001315.1	GCF_000001315.1	ALT_REF_LOCI_1
## GCA_000001325.1	GCF_000001325.2	ALT_REF_LOCI_2
## GCA_000001335.1	GCF_000001335.1	ALT_REF_LOCI_3
## GCA_000001345.1	GCF_000001345.1	ALT_REF_LOCI_4
## GCA_000001355.1	GCF_000001355.1	ALT_REF_LOCI_5
## GCA_000001365.1	GCF_000001365.2	ALT_REF_LOCI_6
## GCA_000001375.1	GCF_000001375.1	ALT_REF_LOCI_7
## GCA_000001385.1	GCF_000001385.1	ALT_REF_LOCI_8
## GCA_000001395.1	GCF_000001395.1	ALT_REF_LOCI_9
## GCA_000006015.1	GCF_000006015.1	non-nuclear
#
# Region-Name	Chromosome	Chromosome-Start	Chromosome-Stop	Scaffold-Role	Scaffold-GenBank-Accn	Scaffold-RefSeq-Accn	Assembly-Unit
REGION2	1	153673007	153838214	novel-patch	GL383518.1	NW_003315905.1	PATCHES
MTX1	1	155180173	155275036	novel-patch	GL383519.1	NW_003315906.1	PATCHES
REGION3	1	198339213	198694304	novel-patch	GL383520.1	NW_003315907.1	PATCHES
REGION1	1	248865779	249098883	fix-patch	GL383516.1	NW_003315903.1	PATCHES
REGION1	1	248865779	249098883	fix-patch	GL383517.1	NW_003315904.1	PATCHES
REGION4	2	36453102	36590458	novel-patch	GL383521.1	NW_003315908.1	PATCHES
SPC25	2	169686873	169793704	novel-patch	GL383522.1	NW_003315909.1	PATCHES
VPRBP	3	51416109	51584055	fix-patch	GL383523.1	NW_003315910.1	PATCHES
DNAH12	3	57369478	57399969	fix-patch	GL383524.1	NW_003315911.1	PATCHES
SLC25A26	3	66270271	66308065	fix-patch	GL383525.1	NW_003315912.1	PATCHES
REGION5	3	151307154	151477286	novel-patch	GL383526.1	NW_003315913.1	PATCHES
REGION6	4	34519577	34885480	novel-patch	GL383528.1	NW_003315915.1	PATCHES
LPHN3	4	62777687	62877254	novel-patch	GL383529.1	NW_003315916.1	PATCHES
UGT2B17	4	69170077	69878175	alt-scaffold	GL000257.1	NT_167250.1	ALT_REF_LOCI_8
REGION7	4	156756530	156908416	novel-patch	GL383527.1	NW_003315914.1	PATCHES
REGION9	5	12681538	12744122	novel-patch	GL383532.1	NW_003315920.1	PATCHES
SMA	5	68505250	70910270	novel-patch	GL339449.1	NW_003315917.1	PATCHES
