# Region Report
# Assembly Name:  MalDomGD1.0
# Description:    Malus_x_domestica_GoldenDelicious1.0
# Organism name:  Malus domestica
# Taxid:          3750
# Submitter:      IASMA research center
# Date:           2012-8-16
# BioSample:      SAMN02981243
# Assembly type:  haploid-with-alt-loci
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# GenBank Assembly Accession: GCA_000148765.2 (latest)
# RefSeq Assembly Accession: GCF_000148765.1 (species-representative latest)
# RefSeq Assembly and GenBank Assemblies Identical: no
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_000148775.1	GCF_000148775.1	Primary Assembly
## GCA_000165855.2	GCF_000165855.1	alt_haplotype1.MalDomGD1.0
## GCA_000165865.1	GCF_000165865.1	alt_haplotype2.MalDomGD1.0
## GCA_000165875.1	GCF_000165875.1	alt_haplotype3.MalDomGD1.0
## 	GCF_000696565.1	non-nuclear
#
# Region-Name	Chromosome	Chromosome-Start	Chromosome-Stop	Scaffold-Role	Scaffold-GenBank-Accn	Scaffold-RefSeq-Accn	Assembly-Unit
region1	1	6309	719843	alt-scaffold	GL543353.1	NW_007545035.1	alt_haplotype1.MalDomGD1.0
region1	1	6309	719843	alt-scaffold	GL543786.1	NW_007545467.1	alt_haplotype2.MalDomGD1.0
region1	1	6309	719843	alt-scaffold	GL544201.1	NW_007545882.1	alt_haplotype3.MalDomGD1.0
region2	1	761130	1531809	alt-scaffold	GL543354.1	NW_007545036.1	alt_haplotype1.MalDomGD1.0
region2	1	761130	1531809	alt-scaffold	GL543787.1	NW_007545468.1	alt_haplotype2.MalDomGD1.0
region2	1	761130	1531809	alt-scaffold	GL544202.1	NW_007545883.1	alt_haplotype3.MalDomGD1.0
region3	1	1721323	2162255	alt-scaffold	GL543355.1	NW_007545037.1	alt_haplotype1.MalDomGD1.0
region3	1	1721323	2162255	alt-scaffold	GL543788.1	NW_007545469.1	alt_haplotype2.MalDomGD1.0
region3	1	1721323	2162255	alt-scaffold	GL544203.1	NW_007545884.1	alt_haplotype3.MalDomGD1.0
region4	1	2174638	2296230	alt-scaffold	GL543356.1	NW_007545038.1	alt_haplotype1.MalDomGD1.0
region5	1	2439242	2705381	alt-scaffold	GL543357.1	NW_007545039.1	alt_haplotype1.MalDomGD1.0
region5	1	2439242	2705381	alt-scaffold	GL543789.1	NW_007545470.1	alt_haplotype2.MalDomGD1.0
region6	1	2744958	2795915	alt-scaffold	GL543358.1	NW_007545040.1	alt_haplotype1.MalDomGD1.0
region7	1	2797743	3063163	alt-scaffold	GL543359.1	NW_007545041.1	alt_haplotype1.MalDomGD1.0
region7	1	2797743	3063163	alt-scaffold	GL543790.1	NW_007545471.1	alt_haplotype2.MalDomGD1.0
region7	1	2797743	3063163	alt-scaffold	GL544204.1	NW_007545885.1	alt_haplotype3.MalDomGD1.0
region8	1	3064813	3324081	alt-scaffold	GL543360.1	NW_007545042.1	alt_haplotype1.MalDomGD1.0
region8	1	3064813	3324081	alt-scaffold	GL543791.1	NW_007545472.1	alt_haplotype2.MalDomGD1.0
region8	1	3064813	3324081	alt-scaffold	GL544205.1	NW_007545886.1	alt_haplotype3.MalDomGD1.0
region9	1	3409575	3518864	alt-scaffold	GL543361.1	NW_007545043.1	alt_haplotype1.MalDomGD1.0
region9	1	3409575	3518864	alt-scaffold	GL543792.1	NW_007545473.1	alt_haplotype2.MalDomGD1.0
region9	1	3409575	3518864	alt-scaffold	GL544206.1	NW_007545887.1	alt_haplotype3.MalDomGD1.0
region10	1	3552847	6316265	alt-scaffold	GL543362.1	NW_007545044.1	alt_haplotype1.MalDomGD1.0
region10	1	3552847	6316265	alt-scaffold	GL543793.1	NW_007545474.1	alt_haplotype2.MalDomGD1.0
region10	1	3552847	6316265	alt-scaffold	GL544207.1	NW_007545888.1	alt_haplotype3.MalDomGD1.0
region11	1	6430035	6598194	alt-scaffold	GL543363.1	NW_007545045.1	alt_haplotype1.MalDomGD1.0
region12	1	6754208	7124686	alt-scaffold	GL543364.1	NW_007545046.1	alt_haplotype1.MalDomGD1.0
region12	1	6754208	7124686	alt-scaffold	GL543795.1	NW_007545476.1	alt_haplotype2.MalDomGD1.0
region12	1	6754208	7124686	alt-scaffold	GL544208.1	NW_007545889.1	alt_haplotype3.MalDomGD1.0
region13	1	7125615	8075159	alt-scaffold	GL543365.1	NW_007545047.1	alt_haplotype1.MalDomGD1.0
region13	1	7125615	8075159	alt-scaffold	GL543796.1	NW_007545477.1	alt_haplotype2.MalDomGD1.0
region13	1	7125615	8075159	alt-scaffold	GL544209.1	NW_007545890.1	alt_haplotype3.MalDomGD1.0
region14	1	8080667	8998409	alt-scaffold	GL543366.1	NW_007545048.1	alt_haplotype1.MalDomGD1.0
region14	1	8080667	8998409	alt-scaffold	GL543797.1	NW_007545478.1	alt_haplotype2.MalDomGD1.0
region14	1	8080667	8998409	alt-scaffold	GL544210.1	NW_007545891.1	alt_haplotype3.MalDomGD1.0
region15	1	9034838	9438273	alt-scaffold	GL543367.1	NW_007545049.1	alt_haplotype1.MalDomGD1.0
region15	1	9034838	9438273	alt-scaffold	GL543798.1	NW_007545479.1	alt_haplotype2.MalDomGD1.0
region15	1	9034838	9438273	alt-scaffold	GL544211.1	NW_007545892.1	alt_haplotype3.MalDomGD1.0
region16	1	9442567	10215366	alt-scaffold	GL543368.1	NW_007545050.1	alt_haplotype1.MalDomGD1.0
region16	1	9442567	10215366	alt-scaffold	GL543799.1	NW_007545480.1	alt_haplotype2.MalDomGD1.0
region16	1	9442567	10215366	alt-scaffold	GL544212.1	NW_007545893.1	alt_haplotype3.MalDomGD1.0
region17	1	10282568	11803250	alt-scaffold	GL543369.1	NW_007545051.1	alt_haplotype1.MalDomGD1.0
region17	1	10282568	11803250	alt-scaffold	GL543800.1	NW_007545481.1	alt_haplotype2.MalDomGD1.0
region17	1	10282568	11803250	alt-scaffold	GL544213.1	NW_007545894.1	alt_haplotype3.MalDomGD1.0
region18	1	11834430	11944004	alt-scaffold	GL543370.1	NW_007545052.1	alt_haplotype1.MalDomGD1.0
region18	1	11834430	11944004	alt-scaffold	GL543801.1	NW_007545482.1	alt_haplotype2.MalDomGD1.0
region19	1	11950749	12863169	alt-scaffold	GL543371.1	NW_007545053.1	alt_haplotype1.MalDomGD1.0
region19	1	11950749	12863169	alt-scaffold	GL543802.1	NW_007545483.1	alt_haplotype2.MalDomGD1.0
region19	1	11950749	12863169	alt-scaffold	GL544214.1	NW_007545895.1	alt_haplotype3.MalDomGD1.0
region20	1	12963941	14414162	alt-scaffold	GL543372.1	NW_007545054.1	alt_haplotype1.MalDomGD1.0
region20	1	12963941	14414162	alt-scaffold	GL543803.1	NW_007545484.1	alt_haplotype2.MalDomGD1.0
region20	1	12963941	14414162	alt-scaffold	GL544215.1	NW_007545896.1	alt_haplotype3.MalDomGD1.0
region21	1	14502833	14788943	alt-scaffold	GL543373.1	NW_007545055.1	alt_haplotype1.MalDomGD1.0
region21	1	14502833	14788943	alt-scaffold	GL543804.1	NW_007545485.1	alt_haplotype2.MalDomGD1.0
region22	1	14806925	15092969	alt-scaffold	GL543374.1	NW_007545056.1	alt_haplotype1.MalDomGD1.0
region22	1	14806925	15092969	alt-scaffold	GL543805.1	NW_007545486.1	alt_haplotype2.MalDomGD1.0
region22	1	14806925	15092969	alt-scaffold	GL544216.1	NW_007545897.1	alt_haplotype3.MalDomGD1.0
region23	1	15515635	15783710	alt-scaffold	GL543375.1	NW_007545057.1	alt_haplotype1.MalDomGD1.0
region23	1	15515635	15783710	alt-scaffold	GL543806.1	NW_007545487.1	alt_haplotype2.MalDomGD1.0
region23	1	15515635	15783710	alt-scaffold	GL544217.1	NW_007545898.1	alt_haplotype3.MalDomGD1.0
region24	1	15878088	16196064	alt-scaffold	GL543376.1	NW_007545058.1	alt_haplotype1.MalDomGD1.0
region24	1	15878088	16196064	alt-scaffold	GL543807.1	NW_007545488.1	alt_haplotype2.MalDomGD1.0
region24	1	15878088	16196064	alt-scaffold	GL544218.1	NW_007545899.1	alt_haplotype3.MalDomGD1.0
region25	1	16234245	19247955	alt-scaffold	GL543377.1	NW_007545059.1	alt_haplotype1.MalDomGD1.0
region25	1	16234245	19247955	alt-scaffold	GL543808.1	NW_007545489.1	alt_haplotype2.MalDomGD1.0
