id	chr	SuccessfullyMapped	MappedSeqInfo.GenBankID	MappedSeqInfo.RefSeqID	MappedSeqInfo.SequenceType	ChrStart	ChrEnd	MappedVersionNumbers	MappedVersionAccessions	Accession1Method	Accession2Method	AssemblyName	GenBankAssemblyAcc	RefSeqAssemblyAcc	AssemblyStatus
ZG-2797	10	MAPPED	CM002894.1	NC_007121.6	CHROMOSOME	8458346	8625658	6,9	FP016034,BX682234	alignment	component	GRCz10	GCA_000002035.3	GCF_000002035.5	latest
ZG-2797	10	MAPPED	CU651613.3	NC_007121.5	CHROMOSOME	7442100	7604383	6,9	FP016034,BX682234	component	component	Zv9	GCA_000002035.2	GCF_000002035.4	old
ZG-2798	10	MAPPED	CM002894.1	NC_007121.6	CHROMOSOME	8449075	8625658	6,9	FQ377876,BX682234	alignment	component	GRCz10	GCA_000002035.3	GCF_000002035.5	latest
ZG-3136	10	MAPPED	CM002894.1	NC_007121.6	CHROMOSOME	71178	167233	4,1	CU633885,FQ482079	component	component	GRCz10	GCA_000002035.3	GCF_000002035.5	latest
ZG-3136	10	NOT MAPPED	na	na	na	na	na	na,na	na,na	na	na	Zv9	GCA_000002035.2	GCF_000002035.4	old
ZG-3137	10	MAPPED	CM002894.1	NC_007121.6	CHROMOSOME	678161	894937	4,23	CU929306,CU694495	component	component	GRCz10	GCA_000002035.3	GCF_000002035.5	latest
ZG-3137	10	MAPPED	CU651613.3	NC_007121.5	CHROMOSOME	681388	891448	4,23	CU929306,CU694495	component	component	Zv9	GCA_000002035.2	GCF_000002035.4	old
ZG-3138	10	MAPPED	CM002894.1	NC_007121.6	CHROMOSOME	1841990	2155849	9,23	CU861476,FP236249	component	component	GRCz10	GCA_000002035.3	GCF_000002035.5	latest
ZG-3138	10	NOT MAPPED	na	na	na	na	na	na,na	na,na	na	na	Zv9	GCA_000002035.2	GCF_000002035.4	old
ZG-3139	10	MAPPED	CM002894.1	NC_007121.6	CHROMOSOME	7787186	7875487	7,6	CU633881,CU681843	component	component	GRCz10	GCA_000002035.3	GCF_000002035.5	latest
ZG-3139	10	MAPPED	CU651613.3	NC_007121.5	CHROMOSOME	6774386	6862687	7,6	CU633881,CU681843	component	component	Zv9	GCA_000002035.2	GCF_000002035.4	old
ZG-3141	10	MAPPED	CM002894.1	NC_007121.6	CHROMOSOME	8070725	8213212	9,10	BX664706,CU633857	component	component	GRCz10	GCA_000002035.3	GCF_000002035.5	latest
ZG-3141	10	MAPPED	CU651613.3	NC_007121.5	CHROMOSOME	7057925	7194966	9,10	BX664706,CU633857	component	component	Zv9	GCA_000002035.2	GCF_000002035.4	old
ZG-3142	10	MAPPED	CM002894.1	NC_007121.6	CHROMOSOME	5687762	8625658	9,19	BX682234,BX294128	component	component	GRCz10	GCA_000002035.3	GCF_000002035.5	latest
ZG-3142	10	MAPPED	CU651613.3	NC_007121.5	CHROMOSOME	7475794	7780466	9,19	BX682234,BX294128	component	component	Zv9	GCA_000002035.2	GCF_000002035.4	old
ZG-3143	10	MAPPED	CM002894.1	NC_007121.6	CHROMOSOME	5687762	8625658	9,19	BX682234,BX294128	component	component	GRCz10	GCA_000002035.3	GCF_000002035.5	latest
ZG-3143	10	MAPPED	CU651613.3	NC_007121.5	CHROMOSOME	7475794	7780466	9,19	BX682234,BX294128	component	component	Zv9	GCA_000002035.2	GCF_000002035.4	old
