id	chr	SuccessfullyMapped	MappedSeqInfo.GenBankID	MappedSeqInfo.RefSeqID	MappedSeqInfo.SequenceType	ChrStart	ChrEnd	MappedVersionNumbers	MappedVersionAccessions	Accession1Method	Accession2Method	AssemblyName	GenBankAssemblyAcc	RefSeqAssemblyAcc	AssemblyStatus
HG-1019	10	MAPPED	CM000667.1	NC_000005.9	CHROMOSOME	138864794	138909803	4,4	BX322640,BX322640	alignment	alignment	GRCh37.p13	GCA_000001405.14	GCF_000001405.25	old
HG-1019	10	MAPPED	CM000667.2	NC_000005.10	CHROMOSOME	139485209	139530218	4,4	BX322640,BX322640	alignment	alignment	GRCh38.p6	GCA_000001405.21	GCF_000001405.32	latest
HG-1041	10	MAPPED	CM000672.1	NC_000010.10	CHROMOSOME	7579627	7660338	14,14	AL355374,AL355374	component	component	GRCh37.p13	GCA_000001405.14	GCF_000001405.25	old
HG-1041	10	MAPPED	CM000672.2	NC_000010.11	CHROMOSOME	7537665	7618375	14,14	AL355374,AL355374	component	component	GRCh38.p6	GCA_000001405.21	GCF_000001405.32	latest
HG-1053	10	MAPPED	CM000672.1	NC_000010.10	CHROMOSOME	61105709	61145478	15,15	AL355474,AL355474	component	component	GRCh37.p13	GCA_000001405.14	GCF_000001405.25	old
HG-1053	10	MAPPED	CM000672.2	NC_000010.11	CHROMOSOME	59345949	59385720	15,15	AL355474,AL355474	component	component	GRCh38.p6	GCA_000001405.21	GCF_000001405.32	latest
HG-1058	10	MAPPED	CM000672.1	NC_000010.10	CHROMOSOME	59638790	59819493	9,4	BX005393,AL603906	alignment	component	GRCh37.p13	GCA_000001405.14	GCF_000001405.25	old
HG-1058	10	MAPPED	CM000672.2	NC_000010.11	CHROMOSOME	57879030	58059733	9,4	BX005393,AL603906	alignment	component	GRCh38.p6	GCA_000001405.21	GCF_000001405.32	latest
HG-1074	10	MAPPED	CM000672.1	NC_000010.10	CHROMOSOME	51028872	51886485	9,8	AL731572,AL442003	component	component	GRCh37.p13	GCA_000001405.14	GCF_000001405.25	old
HG-1074	10	MAPPED	KB663606.1	NW_004504302.1	ALT_SCAFFOLD	1	305900	9,8	AL731572,AL442003	component	component	GRCh37.p13	GCA_000001405.14	GCF_000001405.25	old
HG-1074	10	MAPPED	CM000672.2	NC_000010.11	CHROMOSOME	49820826	50126725	9,8	AL731572,AL442003	component	component	GRCh38.p6	GCA_000001405.21	GCF_000001405.32	latest
HG-1086	10	MAPPED	CM000672.1	NC_000010.10	CHROMOSOME	125919473	126019433	10,10	AL606510,AL606510	component	component	GRCh37.p13	GCA_000001405.14	GCF_000001405.25	old
HG-1086	10	MAPPED	CM000672.2	NC_000010.11	CHROMOSOME	124232759	124330864	10,10	AL606510,AL606510	component	component	GRCh38.p6	GCA_000001405.21	GCF_000001405.32	latest
HG-1090	10	MAPPED	CM000672.1	NC_000010.10	CHROMOSOME	21759428	21869738	22,22	AL358780,AL358780	component	component	GRCh37.p13	GCA_000001405.14	GCF_000001405.25	old
HG-1090	10	MAPPED	CM000672.2	NC_000010.11	CHROMOSOME	21470499	21580809	22,22	AL358780,AL358780	component	component	GRCh38.p6	GCA_000001405.21	GCF_000001405.32	latest
HG-113	10	MAPPED	CM000672.1	NC_000010.10	CHROMOSOME	133665144	133781577	2,9	BX511297,AL732395	component	component	GRCh37.p13	GCA_000001405.14	GCF_000001405.25	old
HG-113	10	MAPPED	CM000672.2	NC_000010.11	CHROMOSOME	131832808	131968073	2,9	BX511297,AL732395	component	component	GRCh38.p6	GCA_000001405.21	GCF_000001405.32	latest
HG-1163	10	MAPPED	CM000672.1	NC_000010.10	CHROMOSOME	27574584	27706537	14,14	AL355493,AL355493	component	component	GRCh37.p13	GCA_000001405.14	GCF_000001405.25	old
HG-1163	10	MAPPED	GL383545.1	NW_003315934.1	ALT_SCAFFOLD	1	179254	14,14	AL355493,AL355493	component	component	GRCh37.p13	GCA_000001405.14	GCF_000001405.25	old
HG-1163	10	MAPPED	CM000672.2	NC_000010.11	CHROMOSOME	27285655	27417608	14,14	AL355493,AL355493	component	component	GRCh38.p6	GCA_000001405.21	GCF_000001405.32	latest
HG-1163	10	MAPPED	GL383545.1	NW_003315934.1	ALT_SCAFFOLD	1	179254	14,14	AL355493,AL355493	component	component	GRCh38.p6	GCA_000001405.21	GCF_000001405.32	latest
HG-1164	10	MAPPED	CM000672.1	NC_000010.10	CHROMOSOME	45670681	45964419	6,14	AL731567,AL512324	component	component	GRCh37.p13	GCA_000001405.14	GCF_000001405.25	old
HG-1164	10	MAPPED	GL383546.1	NW_003315935.1	ALT_SCAFFOLD	1	309802	6,14	AL731567,AL512324	component	component	GRCh37.p13	GCA_000001405.14	GCF_000001405.25	old
