Issue_Type	Issue_ID	Chromosome	Accession_1	Accession_2	Report_Type	Summary	Status	Status_Text	Description	Experiment_Type	Update	External_Information_Type	Resolution_Summary	Resolution_Information	Patch_Type	Fixed_in_Version	Affected_Version	Patch_GenBank_Accession	Patch_RefSeq_Accession	Patch_Region_Name	Shortform_Location_Information
GRC Housekeeping	HG-1019	10	BX322640.4	BX322640.4	Genomic Alignment- single clone	"Drop NCBI36 unlocalized scaffold NT_113918 b/c sole component is phase 1"	Resolved	"none"	"NCBI36 chr.10 unlocalized scaffold NT_113918 is comprised entirely of phase 1 sequence (BX322640.4)."	na	2010-09-13T15:32:25.000-0400	na	GRC Resolved by Electronic Means	"This scaffold/component is not included in GRCh37."	na	GRCh37	Build 36	na	na	na	MAPPED:@:CM000667.1:@:NC_000005.9:@:CHROMOSOME:@:138864794:@:138909803:@:4:@@@:BX322640:::4:@@@:BX322640:@:alignment:@:alignment:@:GRCh37.p13:@:GCA_000001405.14:@:GCF_000001405.25:@:old::@@::MAPPED:@:CM000667.2:@:NC_000005.10:@:CHROMOSOME:@:139485209:@:139530218:@:4:@@@:BX322640:::4:@@@:BX322640:@:alignment:@:alignment:@:GRCh38.p6:@:GCA_000001405.21:@:GCF_000001405.32:@:latest
Variation	HG-1041	10	AL355374.14	AL355374.14	Vega Report	"Sequence error (insertion) in last coding exon of  gene ITIH5"	Resolved	"none"	"The reference genome has an insertion of a \"G\" on the reverse strand in the last coding exon of the ITIH5 gene just before the real stop codon."	na	2013-10-18T06:30:39.000-0400	1000 Genomes	GRC Resolved by Electronic Means	"Mini-contig KF570249.1 has been added to the GRCh38 reference assembly patching component AL355374.14 and improving the alignment of ITIH5 to the reference."	na	GRCh38	GRCh37	na	na	na	MAPPED:@:CM000672.1:@:NC_000010.10:@:CHROMOSOME:@:7579627:@:7660338:@:14:@@@:AL355374:::14:@@@:AL355374:@:component:@:component:@:GRCh37.p13:@:GCA_000001405.14:@:GCF_000001405.25:@:old::@@::MAPPED:@:CM000672.2:@:NC_000010.11:@:CHROMOSOME:@:7537665:@:7618375:@:14:@@@:AL355374:::14:@@@:AL355374:@:component:@:component:@:GRCh38.p6:@:GCA_000001405.21:@:GCF_000001405.32:@:latest
Variation	HG-1053	10	AL355474.15	AL355474.15	Vega Report	"Potential sequencing error in AL355474.15 overlaps with the FAM13C gene"	Resolved	"none"	"A potential sequencing error in AL355474.15 overlaps with the 5' UTR of the FAM13C gene"	PCR	2013-10-18T06:26:29.000-0400	SAB Decision	GRC Resolved by Electronic Means	"Mini-contig KF459662.1 has been added to the GRCh38 reference assembly patching component AL355474.15 and improving the alignment of FAM13C to the reference."	na	GRCh38	GRCh37	na	na	na	MAPPED:@:CM000672.1:@:NC_000010.10:@:CHROMOSOME:@:61105709:@:61145478:@:15:@@@:AL355474:::15:@@@:AL355474:@:component:@:component:@:GRCh37.p13:@:GCA_000001405.14:@:GCF_000001405.25:@:old::@@::MAPPED:@:CM000672.2:@:NC_000010.11:@:CHROMOSOME:@:59345949:@:59385720:@:15:@@@:AL355474:::15:@@@:AL355474:@:component:@:component:@:GRCh38.p6:@:GCA_000001405.21:@:GCF_000001405.32:@:latest
GRC Housekeeping	HG-1058	10	BX005393.9	AL603906.4	TPF Analysis	"No alignment between BX005393.9 and AL603906.4"	Resolved	"none"	"Accession swap for RP11-448K10 creates a contig building error"	na	2010-12-09T13:23:18.000-0500	na	GRC Resolved by Electronic Means	"Component AC006484 restored to TPF in place of BX005393"	na	GRCh38	GRCh37	na	na	na	MAPPED:@:CM000672.1:@:NC_000010.10:@:CHROMOSOME:@:59638790:@:59819493:@:9:@@@:BX005393:::4:@@@:AL603906:@:alignment:@:component:@:GRCh37.p13:@:GCA_000001405.14:@:GCF_000001405.25:@:old::@@::MAPPED:@:CM000672.2:@:NC_000010.11:@:CHROMOSOME:@:57879030:@:58059733:@:9:@@@:BX005393:::4:@@@:AL603906:@:alignment:@:component:@:GRCh38.p6:@:GCA_000001405.21:@:GCF_000001405.32:@:latest
Gap	HG-1074	10	AL731572.9	AL442003.8	TPF Analysis	"A gap exists between components AL731572.9 and AL442003.8"	Resolved	"none"	"A gap exists between components AL731572.9 and AL442003.8"	Clone Sequencing	2015-12-15T10:34:22.000-0500	na	GRC Resolved by Experimental Method	"The gap in the chromosome between components AL731572.9 and AL442003.8 has been closed by the addition of sequenced components FP565721.2 and FO393433.2"	GRCh37:FIX	GRCh37.p12,GRCh38	GRCh37	KB663606.1	NW_004504302.1	10Q11	MAPPED:@:CM000672.1:@:NC_000010.10:@:CHROMOSOME:@:51028872:@:51886485:@:9:@@@:AL731572:::8:@@@:AL442003:@:component:@:component:@:GRCh37.p13:@:GCA_000001405.14:@:GCF_000001405.25:@:old::@@::MAPPED:@:KB663606.1:@:NW_004504302.1:@:ALT_SCAFFOLD:@:1:@:305900:@:9:@@@:AL731572:::8:@@@:AL442003:@:component:@:component:@:GRCh37.p13:@:GCA_000001405.14:@:GCF_000001405.25:@:old::@@::MAPPED:@:CM000672.2:@:NC_000010.11:@:CHROMOSOME:@:49820826:@:50126725:@:9:@@@:AL731572:::8:@@@:AL442003:@:component:@:component:@:GRCh38.p6:@:GCA_000001405.21:@:GCF_000001405.32:@:latest
Sub-task	HG-1086	10	AL606510.10	AL606510.10	Genomic Alignment- assembly	"Confirm scaffold2010_124185_250592.5:1-12840 is a correctly assembled human sequence."	Resolved	"none"	"Confirm that scaffold2010_124185_250592.5:1-12840, a 12 Kb YH1 scaffold that has not alignments to sequences in NR, is a correctly assembled human sequence."	PCR	2015-07-23T17:13:40.000-0400	na	GRC Resolved by Electronic Means	"The sequence represented by scaffold2010_124185_250592.5:1-12840 is not part of the accessioned YH1 assembly. However, it has a high quality alignment to HuRef scaffold NW_001838009.1, which projects into the assembly gap being reviewed in HG-54. Thus, scaffold2010_124185_250592.5:1-12840 does appear to be a human sequence. Further efforts to add this missing sequence will be handled in HG-54."	na	GRCh38	GRCh37.p2	na	na	na	MAPPED:@:CM000672.1:@:NC_000010.10:@:CHROMOSOME:@:125919473:@:126019433:@:10:@@@:AL606510:::10:@@@:AL606510:@:component:@:component:@:GRCh37.p13:@:GCA_000001405.14:@:GCF_000001405.25:@:old::@@::MAPPED:@:CM000672.2:@:NC_000010.11:@:CHROMOSOME:@:124232759:@:124330864:@:10:@@@:AL606510:::10:@@@:AL606510:@:component:@:component:@:GRCh38.p6:@:GCA_000001405.21:@:GCF_000001405.32:@:latest
Variation	HG-1090	10	AL358780.22	AL358780.22	Vega Report	"CpG island insertion in C10orf140 polymorphic?"	Resolved	"none"	"Compared to transcripts the genome has a &gt;250bp insertion, containing unique sequence flanked by inverted tri-nucleotide repeats, in the coding exon of gene C10orf140. This could be a polymorphism."	na	2013-07-16T08:16:47.000-0400	na	GRC Resolved- No Change	"The assembly of component AL358780.22 has been checked and no error has been found.  \nThe unique sequence insertion found in AL358780.22 is a genuine polymorphism."	na	GRCh38	na	na	na	na	MAPPED:@:CM000672.1:@:NC_000010.10:@:CHROMOSOME:@:21759428:@:21869738:@:22:@@@:AL358780:::22:@@@:AL358780:@:component:@:component:@:GRCh37.p13:@:GCA_000001405.14:@:GCF_000001405.25:@:old::@@::MAPPED:@:CM000672.2:@:NC_000010.11:@:CHROMOSOME:@:21470499:@:21580809:@:22:@@@:AL358780:::22:@@@:AL358780:@:component:@:component:@:GRCh38.p6:@:GCA_000001405.21:@:GCF_000001405.32:@:latest
Gap	HG-113	10	BX511297.2	AL732395.9	RefSeq Report	"GeneID: 55844 (PPP2R2D), assembly gap"	Awaiting Exptl Data	"01-JUL-13: ABC8-42663600F2 is completed sequence, HTGS phase 3\nAccession for ABC8-42663600F2: FO680657"	"The first exon of NM_018461.2 (nt 1..242) fails to align to the reference genome."	na	2015-07-23T17:13:30.000-0400	na	Unresolved	"na"	na	na	Build 36	na	na	na	MAPPED:@:CM000672.1:@:NC_000010.10:@:CHROMOSOME:@:133665144:@:133781577:@:2:@@@:BX511297:::9:@@@:AL732395:@:component:@:component:@:GRCh37.p13:@:GCA_000001405.14:@:GCF_000001405.25:@:old::@@::MAPPED:@:CM000672.2:@:NC_000010.11:@:CHROMOSOME:@:131832808:@:131968073:@:2:@@@:BX511297:::9:@@@:AL732395:@:component:@:component:@:GRCh38.p6:@:GCA_000001405.21:@:GCF_000001405.32:@:latest
Variation	HG-1163	10	AL355493.14	AL355493.14	Genomic Alignment- single clone	"NOVEL patch created to capture sequence from AC231273.2 and  AC226171.3 not represented in reference chromosome"	Resolved	"none"	"NOVEL patch GL383545.1 created to capture sequence from AC231273.2 and  AC226171.3 not represented in reference chromosome"	na	2016-01-04T12:53:13.000-0500	na	GRC-Duplicate	"This ticket is a duplicate of HG-945."	GRCh38:ALT	GRCh37.p2,GRCh38	GRCh37	GL383546.1	NW_003315935.1	REGION18	MAPPED:@:CM000672.1:@:NC_000010.10:@:CHROMOSOME:@:27574584:@:27706537:@:14:@@@:AL355493:::14:@@@:AL355493:@:component:@:component:@:GRCh37.p13:@:GCA_000001405.14:@:GCF_000001405.25:@:old::@@::MAPPED:@:GL383545.1:@:NW_003315934.1:@:ALT_SCAFFOLD:@:1:@:179254:@:14:@@@:AL355493:::14:@@@:AL355493:@:component:@:component:@:GRCh37.p13:@:GCA_000001405.14:@:GCF_000001405.25:@:old::@@::MAPPED:@:CM000672.2:@:NC_000010.11:@:CHROMOSOME:@:27285655:@:27417608:@:14:@@@:AL355493:::14:@@@:AL355493:@:component:@:component:@:GRCh38.p6:@:GCA_000001405.21:@:GCF_000001405.32:@:latest::@@::MAPPED:@:GL383545.1:@:NW_003315934.1:@:ALT_SCAFFOLD:@:1:@:179254:@:14:@@@:AL355493:::14:@@@:AL355493:@:component:@:component:@:GRCh38.p6:@:GCA_000001405.21:@:GCF_000001405.32:@:latest
Variation	HG-1164	10	AL731567.6	AL512324.14	Genomic Alignment- single clone	"NOVEL patch created to capture sequence from AC234305.3 and AC234230.2 not represented in reference chromosome"	Resolved	"none"	"NOVEL patch GL383546.1 created to capture sequence from AC234305.3 and AC234230.2 not represented in reference chromosome"	na	2016-01-04T12:53:13.000-0500	na	GRC Resolved by Electronic Means	"NOVEL patch GL383546.1 created to capture ~16 kb from AC234305.3 and AC234230.2 not represented in reference chromosome NC_000010.10 sequence."	GRCh38:ALT	GRCh37.p2	GRCh37	GL383546.1	NW_003315935.1	REGION18	MAPPED:@:CM000672.1:@:NC_000010.10:@:CHROMOSOME:@:45670681:@:45964419:@:6:@@@:AL731567:::14:@@@:AL512324:@:component:@:component:@:GRCh37.p13:@:GCA_000001405.14:@:GCF_000001405.25:@:old::@@::MAPPED:@:GL383546.1:@:NW_003315935.1:@:ALT_SCAFFOLD:@:1:@:309802:@:6:@@@:AL731567:::14:@@@:AL512324:@:component:@:component:@:GRCh37.p13:@:GCA_000001405.14:@:GCF_000001405.25:@:old::@@::MAPPED:@:CM000672.2:@:NC_000010.11:@:CHROMOSOME:@:45175233:@:45468971:@:6:@@@:AL731567:::14:@@@:AL512324:@:component:@:component:@:GRCh38.p6:@:GCA_000001405.21:@:GCF_000001405.32:@:latest::@@::MAPPED:@:GL383546.1:@:NW_003315935.1:@:ALT_SCAFFOLD:@:1:@:309802:@:6:@@@:AL731567:::14:@@@:AL512324:@:component:@:component:@:GRCh38.p6:@:GCA_000001405.21:@:GCF_000001405.32:@:latest
