id	chr	SuccessfullyMapped	MappedSeqInfo.GenBankID	MappedSeqInfo.RefSeqID	MappedSeqInfo.SequenceType	ChrStart	ChrEnd	MappedVersionNumbers	MappedVersionAccessions	Accession1Method	Accession2Method	AssemblyName	GenBankAssemblyAcc	RefSeqAssemblyAcc	AssemblyStatus
MG-139	10	MAPPED	CM001003.2	NC_000076.6	CHROMOSOME	22098481	22310438	7,7	AC159136,AC170753	component	component	GRCm38.p4	GCA_000001635.6	GCF_000001635.24	latest
MG-139	10	MAPPED	CM001003.1	NC_000076.5	CHROMOSOME	21818287	22030244	7,7	AC159136,AC170753	component	component	MGSCv37	GCA_000001635.1	GCF_000001635.18	old
MG-160	10	MAPPED	CM001003.2	NC_000076.6	CHROMOSOME	75426954	75542668	33,33	AC144461,AC144461	component	component	GRCm38.p4	GCA_000001635.6	GCF_000001635.24	latest
MG-160	10	MAPPED	CM001003.1	NC_000076.5	CHROMOSOME	74889699	75014179	33,33	AC144461,AC144461	component	component	MGSCv37	GCA_000001635.1	GCF_000001635.18	old
MG-30	10	NOT MAPPED	na	na	na	na	na	na,na	na,na	na	na	GRCm38.p4	GCA_000001635.6	GCF_000001635.24	latest
MG-30	10	NOT MAPPED	na	na	na	na	na	na,na	na,na	na	na	MGSCv37	GCA_000001635.1	GCF_000001635.18	old
MG-3503	10	MAPPED	CM001003.2	NC_000076.6	CHROMOSOME	7170473	7346540	6,6	AC099593,AC099593	component	component	GRCm38.p4	GCA_000001635.6	GCF_000001635.24	latest
MG-3503	10	MAPPED	CM001003.1	NC_000076.5	CHROMOSOME	3000001	3176068	6,6	AC099593,AC099593	component	component	MGSCv37	GCA_000001635.1	GCF_000001635.18	old
MG-3515	10	MAPPED	CM001003.2	NC_000076.6	CHROMOSOME	3127278	7776389	2,6	AC168222,AC156391	component	component	GRCm38.p4	GCA_000001635.6	GCF_000001635.24	latest
MG-3515	10	MAPPED	CM001003.1	NC_000076.5	CHROMOSOME	7135039	7496187	2,6	AC168222,AC156391	component	component	MGSCv37	GCA_000001635.1	GCF_000001635.18	old
MG-3518	10	MAPPED	CM001003.2	NC_000076.6	CHROMOSOME	7576745	7583760	1,1	CAAA01052029,CAAA01193623	component	component	GRCm38.p4	GCA_000001635.6	GCF_000001635.24	latest
MG-3518	10	MAPPED	CM001003.1	NC_000076.5	CHROMOSOME	7296543	7303558	1,1	CAAA01052029,CAAA01193623	component	component	MGSCv37	GCA_000001635.1	GCF_000001635.18	old
MG-3520	10	MAPPED	CM001003.2	NC_000076.6	CHROMOSOME	7580179	7585029	1,1	CAAA01193623,CAAA01052025	component	component	GRCm38.p4	GCA_000001635.6	GCF_000001635.24	latest
MG-3520	10	MAPPED	CM001003.1	NC_000076.5	CHROMOSOME	7299977	7304827	1,1	CAAA01193623,CAAA01052025	component	component	MGSCv37	GCA_000001635.1	GCF_000001635.18	old
MG-3522	10	MAPPED	CM001003.2	NC_000076.6	CHROMOSOME	7583861	7589686	1,1	CAAA01052025,CAAA01224627	component	component	GRCm38.p4	GCA_000001635.6	GCF_000001635.24	latest
