# Region Report
# Assembly Name:  MGSCv37
# Organism name:  Mus musculus
# Taxid:          10090
# Submitter:      Genome Reference Consortium
# Date:           2010-9-23
# Assembly type:  haploid-with-alt-loci
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# GenBank Assembly Accession: GCA_000001635.1 (replaced)
# RefSeq Assembly Accession: GCF_000001635.18 (replaced)
# RefSeq Assembly and GenBank Assemblies Identical: yes
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_000000055.1	GCF_000000055.16	Primary Assembly (C57BL/6J)
## GCA_000000415.1	GCF_000000415.1	129/J
## GCA_000000435.1	GCF_000000435.2	129/Sv
## GCA_000000395.1	GCF_000000395.3	129/SvEvTac
## GCA_000000445.1	GCF_000000445.2	129/SvJ
## GCA_000000495.1	GCF_000000495.3	129P2/OlaHsd
## GCA_000000485.1	GCF_000000485.2	129S7/SvEv
## GCA_000000325.1	GCF_000000325.5	A/J
## GCA_000000425.1	GCF_000000425.1	AKR/J
## GCA_000000335.1	GCF_000000335.8	Balb/c
## GCA_000000465.1	GCF_000000465.2	Cast/Ei
## GCA_000000355.1	GCF_000000355.8	NOD
## GCA_000000505.1	GCF_000000505.1	Spret/Ei
## GCA_000000385.1	GCF_000000385.9	unknown strain
## GCA_000004175.1	GCF_000004175.1	non-nuclear
#
# Region-Name	Chromosome	Chromosome-Start	Chromosome-Stop	Scaffold-Role	Scaffold-GenBank-Accn	Scaffold-RefSeq-Accn	Assembly-Unit
region1	1	60697653	61195514	alt-scaffold	GL456036.1	NT_165757.1	NOD
region1	1	60697653	61195514	alt-scaffold	GL456038.1	NT_039199.1	NOD
region1	1	60697653	61195514	alt-scaffold	GL456039.1	NT_039200.1	NOD
region2	1	61754170	61941338	alt-scaffold	GL456037.1	NT_039197.1	NOD
region3	1	63440029	63634836	alt-scaffold	GL456040.1	NT_039201.1	NOD
region4	1	78410334	78684064	alt-scaffold	GL455993.1	NT_039198.1	129/SvEvTac
Ren2	1	135135713	135386019	alt-scaffold	GL455991.1	NT_039192.2	129/SvEvTac
Ifi_cluster	1	175631261	175981314	alt-scaffold	GL455992.1	NT_039194.4	129/SvEvTac
Ifi_cluster	1	175631261	175981314	alt-scaffold	GL456005.1	NT_039195.1	129/SvJ
region29	2	102863803	103229146	alt-scaffold	GL456024.1	NT_039223.2	129/Sv
region30	3	36705645	37462525	alt-scaffold	GL456006.1	NT_039248.1	129/SvJ
region30	3	36705645	37462525	alt-scaffold	GL456007.1	NT_039256.1	129/SvJ
region30	3	36705645	37462525	alt-scaffold	GL456045.1	NT_039247.1	NOD
region30	3	36705645	37462525	alt-scaffold	GL456048.1	NT_039252.1	NOD
region31	3	47250927	47483886	alt-scaffold	GL456049.1	NT_039257.3	NOD
region32	3	99757788	99890338	alt-scaffold	GL456041.1	NT_109311.1	NOD
region33	3	100124682	100629140	alt-scaffold	GL456046.1	NT_039250.1	NOD
region34	3	100709803	101111508	alt-scaffold	GL456047.1	NT_039251.2	NOD
region35	3	103394301	103719496	alt-scaffold	GL456044.1	NT_166287.1	NOD
region36	3	108919638	109610603	alt-scaffold	GL456042.1	NT_114257.3	NOD
olfactory_region_2	4	43775564	43869886	alt-scaffold	GL456010.1	NT_039296.1	129/SvJ
Mup_region_1	4	60433222	61702235	alt-scaffold	GL456075.1	NT_166293.1	129S7/SvEv
