Issue_ID	Chromosome	Patch_GenBank_Accession
HG-1074	10	KB663606.1
HG-1163	10	GL383546.1
HG-1164	10	GL383546.1
HG-1211	10	JH591181.2
HG-1271	10	JH591181.2
HG-1479	10	JH806580.1
HG-2191	10	KN196480.1
HG-2196	10	KQ090020.1
HG-2241	10	KN538365.1
HG-2242	10	KN538366.1
HG-2243	10	KN538366.1
HG-2244	10	KN538367.1
HG-2245	10	KN538367.1
HG-2334	10	KQ090021.1
HG-311	10	JH591182.1
HG-339	10	JH591183.1
HG-544	10	GL383543.1
HG-871	10	JH636060.1
HG-905	10	GL877873.1
HG-979	10	KE332501.1
HG-995	10	GL383544.1
HG-1004	11	JH159142.2
HG-107	11	KQ759759.1
HG-1165	11	GL383547.1
HG-122	11	JH720443.2
HG-1252	11	JH159136.1
HG-142	11	JH159136.1
HG-150	11	JH159136.1
HG-151	11	JH159137.1
HG-2109	11	KN538368.1
HG-2116	11	KQ090022.1
HG-2217	11	KN196481.1
HG-256	11	JH591184.1
HG-281	11	GL582973.1
HG-299	11	JH159138.1
HG-305	11	JH159139.1
HG-306	11	JH159140.1
HG-348	11	JH159141.2
HG-366	11	JH159141.2
HG-388	11	JH159142.2
HG-400	11	JH159142.2
HG-414	11	JH159143.1
HG-536	11	GL949744.1
HG-865	11	JH806581.1
HG-873	11	JH591185.1
HG-1062	12	GL877876.1
HG-1069	12	GL877875.1
HG-1133	12	GL949745.1
HG-1166	12	GL383549.1
HG-1167	12	GL383550.2
HG-1168	12	GL383551.1
HG-1169	12	GL383552.1
HG-1170	12	GL383553.2
HG-1361	12	KB663607.2
HG-1362	12	KN538369.1
HG-1595	12	KB663607.2
HG-2063	12	KQ759760.1
HG-2183	12	KQ090023.1
HG-2247	12	KN538370.1
HG-23	12	KN196482.1
HG-344	12	JH720444.2
HG-858	12	GL582974.1
HG-996	12	GL383548.1
HG-2144	13	KQ090024.1
HG-2145	13	KQ090025.1
HG-2216	13	KN196483.1
HG-2249	13	KN538373.1
HG-2288	13	KN538371.1
HG-2289	13	KN538371.1
HG-2291	13	KN538372.1
HG-531	13	GL582975.1
HG-1592	14	KB021645.1
HG-3	14	KB021645.1
HG-1171	15	GL383554.1
HG-1172	15	GL383554.1
HG-2139	15	KN538374.1
HG-2340	15	KQ031389.1
HG-971	15	JH720445.1
HG-1173	16	GL383556.1
HG-1175	16	GL383557.1
HG-1208	16	JH720446.1
HG-2170	16	KQ090026.1
HG-2173	16	KQ090027.1
HG-2174	16	KQ031390.1
HG-1176	17	GL383563.3
HG-1177	17	GL383564.2
HG-1178	17	GL383565.1
HG-1179	17	GL383566.1
HG-1418	17	JH159147.1
HG-1448	17	JH720447.1
HG-1591	17	KE332502.1
HG-183	17	GL383558.1
HG-185	17	GL582976.1
HG-259	17	JH159148.1
HG-271	17	JH636061.1
HG-385	17	KB021646.2
HG-417	17	JH806582.2
HG-642	17	JH159146.1
HG-745	17	GL383559.2
HG-747	17	JH159144.1
HG-748	17	JH591186.1
HG-75	17	GL383560.1
HG-883	17	JH159145.1
HG-987	17	GL383561.2
HG-990	17	GL383562.1
HG-1180	18	GL383567.1
HG-1181	18	GL383568.1
HG-1182	18	GL383569.1
HG-1183	18	GL383570.1
HG-1184	18	GL383571.1
HG-1185	18	GL383572.1
HG-2213	18	KQ090028.1
HG-2358	18	KQ458385.1
HG-1079	19	KB021647.1
HG-1139	19	GL949748.2
HG-1186	19	GL383573.1
HG-1187	19	GL383574.1
HG-1188	19	GL383575.2
HG-1189	19	GL383576.1
HG-1207	19	GL949746.1
HG-1350	19	KE332505.1
HG-1412	19	GL949749.2
HG-1413	19	GL949750.2
