# Region Report
# Assembly Name:  GRCh38
# Description:    Genome Reference Consortium Human Build 38
# Organism name:  Homo sapiens
# Taxid:          9606
# Submitter:      Genome Reference Consortium
# Date:           2013-12-17
# Assembly type:  haploid-with-alt-loci
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# GenBank Assembly Accession: GCA_000001405.15 (replaced)
# RefSeq Assembly Accession: GCF_000001405.26 (replaced)
# RefSeq Assembly and GenBank Assemblies Identical: yes
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_000001305.2	GCF_000001305.14	Primary Assembly
## GCA_000001315.2	GCF_000001315.2	ALT_REF_LOCI_1
## GCA_000001325.2	GCF_000001325.3	ALT_REF_LOCI_2
## GCA_000001335.2	GCF_000001335.2	ALT_REF_LOCI_3
## GCA_000001345.2	GCF_000001345.2	ALT_REF_LOCI_4
## GCA_000001355.2	GCF_000001355.2	ALT_REF_LOCI_5
## GCA_000001365.2	GCF_000001365.3	ALT_REF_LOCI_6
## GCA_000001375.2	GCF_000001375.2	ALT_REF_LOCI_7
## GCA_000510225.1	GCF_000510225.1	ALT_REF_LOCI_8
## GCA_000510235.1	GCF_000510235.1	ALT_REF_LOCI_9
## GCA_000509915.1	GCF_000509915.1	ALT_REF_LOCI_10
## GCA_000509925.1	GCF_000509925.1	ALT_REF_LOCI_11
## GCA_000509935.1	GCF_000509935.1	ALT_REF_LOCI_12
## GCA_000509945.1	GCF_000509945.1	ALT_REF_LOCI_13
## GCA_000509955.1	GCF_000509955.1	ALT_REF_LOCI_14
## GCA_000509965.1	GCF_000509965.1	ALT_REF_LOCI_15
## GCA_000509975.1	GCF_000509975.1	ALT_REF_LOCI_16
## GCA_000509985.1	GCF_000509985.1	ALT_REF_LOCI_17
## GCA_000509995.1	GCF_000509995.1	ALT_REF_LOCI_18
## GCA_000510005.1	GCF_000510005.1	ALT_REF_LOCI_19
## GCA_000510015.1	GCF_000510015.1	ALT_REF_LOCI_20
## GCA_000510025.1	GCF_000510025.1	ALT_REF_LOCI_21
## GCA_000510035.1	GCF_000510035.1	ALT_REF_LOCI_22
## GCA_000510045.1	GCF_000510045.1	ALT_REF_LOCI_23
## GCA_000510055.1	GCF_000510055.1	ALT_REF_LOCI_24
## GCA_000510065.1	GCF_000510065.1	ALT_REF_LOCI_25
## GCA_000510075.1	GCF_000510075.1	ALT_REF_LOCI_26
## GCA_000510085.1	GCF_000510085.1	ALT_REF_LOCI_27
## GCA_000510095.1	GCF_000510095.1	ALT_REF_LOCI_28
## GCA_000510105.1	GCF_000510105.1	ALT_REF_LOCI_29
## GCA_000510125.1	GCF_000510125.1	ALT_REF_LOCI_30
## GCA_000510135.1	GCF_000510135.1	ALT_REF_LOCI_31
## GCA_000510145.1	GCF_000510145.1	ALT_REF_LOCI_32
## GCA_000510155.1	GCF_000510155.1	ALT_REF_LOCI_33
## GCA_000510165.1	GCF_000510165.1	ALT_REF_LOCI_34
## GCA_000510175.1	GCF_000510175.1	ALT_REF_LOCI_35
## GCA_000006015.1	GCF_000006015.1	non-nuclear
#
# Region-Name	Chromosome	Chromosome-Start	Chromosome-Stop	Scaffold-Role	Scaffold-GenBank-Accn	Scaffold-RefSeq-Accn	Assembly-Unit
REGION108	1	2448811	2791270	alt-scaffold	KI270762.1	NT_187515.1	ALT_REF_LOCI_1
PRAME_REGION_1	1	13075113	13312803	alt-scaffold	KI270766.1	NT_187517.1	ALT_REF_LOCI_1
REGION109	1	30352191	30456601	alt-scaffold	KI270760.1	NT_187514.1	ALT_REF_LOCI_1
CEN1	1	122026460	125184587	CEN	na	na	na
1Q21	1	144488706	144674781	alt-scaffold	KI270765.1	NT_187520.1	ALT_REF_LOCI_1
REGION2	1	153700531	153865738	alt-scaffold	GL383518.1	NW_003315905.1	ALT_REF_LOCI_1
MTX1	1	155210382	155305245	alt-scaffold	GL383519.1	NW_003315906.1	ALT_REF_LOCI_1
REGION3	1	198370083	198725175	alt-scaffold	GL383520.2	NW_003315907.2	ALT_REF_LOCI_1
REGION110	1	234163457	234211370	alt-scaffold	KI270764.1	NT_187521.1	ALT_REF_LOCI_1
REGION111	1	242987893	243895211	alt-scaffold	KI270763.1	NT_187519.1	ALT_REF_LOCI_1
REGION112	1	245305697	245727576	alt-scaffold	KI270759.1	NT_187516.1	ALT_REF_LOCI_1
OLFACTORY_REGION_3	1	248352027	248511794	alt-scaffold	KI270761.1	NT_187518.1	ALT_REF_LOCI_1
OLFACTORY_REGION_3	1	248352027	248511794	alt-scaffold	KI270892.1	NT_187646.1	ALT_REF_LOCI_2
REGION113	2	728878	860300	alt-scaffold	KI270770.1	NT_187525.1	ALT_REF_LOCI_1
REGION114	2	1204935	1273724	alt-scaffold	KI270773.1	NT_187526.1	ALT_REF_LOCI_1
REGION115	2	1315177	1541254	alt-scaffold	KI270774.1	NT_187529.1	ALT_REF_LOCI_1
REGION121	2	3391898	3511146	alt-scaffold	KI270769.1	NT_187522.1	ALT_REF_LOCI_1
REGION4	2	36225959	36363315	alt-scaffold	GL383521.1	NW_003315908.1	ALT_REF_LOCI_1
REGION116	2	90218337	90402511	alt-scaffold	KI270772.1	NT_187524.1	ALT_REF_LOCI_1
REGION116	2	90218337	90402511	alt-scaffold	KI270894.1	NT_187648.1	ALT_REF_LOCI_2
CEN2	2	92188146	94090557	CEN	na	na	na
REGION117	2	115908855	116040717	alt-scaffold	KI270775.1	NT_187531.1	ALT_REF_LOCI_1
REGION118	2	116874515	116981849	alt-scaffold	KI270771.1	NT_187530.1	ALT_REF_LOCI_1
REGION119	2	131697037	131806107	alt-scaffold	KI270768.1	NT_187528.1	ALT_REF_LOCI_1
REGION44	2	148934069	149024119	alt-scaffold	GL582966.2	NW_003571033.2	ALT_REF_LOCI_1
SPC25	2	168830363	168937194	alt-scaffold	GL383522.1	NW_003315909.1	ALT_REF_LOCI_1
REGION120	2	241787903	242117508	alt-scaffold	KI270767.1	NT_187523.1	ALT_REF_LOCI_1
REGION120	2	241787903	242117508	alt-scaffold	KI270776.1	NT_187527.1	ALT_REF_LOCI_1
REGION120	2	241787903	242117508	alt-scaffold	KI270893.1	NT_187647.1	ALT_REF_LOCI_2
REGION73	3	11815268	11986497	alt-scaffold	JH636055.2	NW_003871060.2	ALT_REF_LOCI_1
REGION122	3	20277967	20382602	alt-scaffold	KI270783.1	NT_187535.1	ALT_REF_LOCI_1
CEN3	3	90772459	93655574	CEN	na	na	na
